stage_id,lead_time,max_s_time,cost_rate,risk_pool,ext_demand_mean,ext_demand_std,ext_demand_thres,up_stages
Manuf_0002,2,,2.17,2,,,,Part_0011,1,Part_0012,1,Part_0013,1,Part_0014,1,Part_0015,1,Part_0016,1,Part_0017,1,Part_0018,1,Part_0019,1,Part_0020,1,Part_0021,1,Trans_0001,1
Manuf_0003,2,,54.59,2,,,,Part_0020,1,Part_0021,1,Trans_0001,1
Manuf_0004,1,,11.96,2,,,,Part_0020,1,Part_0021,1,Trans_0001,1
Manuf_0005,2,,19.66,2,,,,Part_0020,1,Part_0021,1,Trans_0001,1
Manuf_0006,2,,219.36,2,,,,Part_0020,1,Part_0021,1,Trans_0001,1
Manuf_0007,1,,141.84,2,,,,Part_0020,1,Part_0021,1,Trans_0001,1
Manuf_0008,1,,9.09,2,,,,Part_0020,1,Part_0021,1,Trans_0001,1
Manuf_0009,2,,9.73,2,,,,Part_0020,1,Part_0021,1,Trans_0001,1
Manuf_0010,2,,29.23,2,,,,Part_0020,1,Part_0021,1,Trans_0001,1
Manuf_0011,2,,17.08,2,,,,Part_0020,1,Part_0021,1,Trans_0001,1
Manuf_0012,2,,25.94,2,,,,Part_0020,1,Part_0021,1,Trans_0001,1
Manuf_0013,2,,17.65,2,,,,Part_0020,1,Part_0021,1,Trans_0001,1
Manuf_0014,2,,14.32,2,,,,Part_0020,1,Part_0021,1,Trans_0001,1
Manuf_0015,1,,57.75,2,,,,Part_0020,1,Part_0021,1,Trans_0001,1
Manuf_0016,2,,46.57,2,,,,Part_0020,1,Part_0021,1,Trans_0001,1
Manuf_0017,1,,23.06,2,,,,Part_0020,1,Part_0021,1,Trans_0001,1
Manuf_0018,1,,10.55,2,,,,Part_0020,1,Part_0021,1,Trans_0001,1
Manuf_0019,2,,28.98,2,,,,Part_0020,1,Part_0021,1,Trans_0001,1
Manuf_0020,1,,6.71,2,,,,Part_0020,1,Part_0021,1,Trans_0001,1
Manuf_0021,2,,13.38,2,,,,Part_0020,1,Part_0021,1,Trans_0001,1
Manuf_0022,1,,51.15,2,,,,Part_0020,1,Part_0021,1,Trans_0001,1
Manuf_0023,1,,30.12,2,,,,Part_0020,1,Part_0021,1,Trans_0001,1
Manuf_0024,1,,75.47,2,,,,Part_0020,1,Part_0021,1,Trans_0001,1
Manuf_0025,2,,22.14,2,,,,Part_0020,1,Part_0021,1,Trans_0001,1
Manuf_0026,2,,5.04,2,,,,Part_0020,1,Part_0021,1,Trans_0001,1
Manuf_0027,1,,20.97,2,,,,Part_0020,1,Part_0021,1,Trans_0001,1
Manuf_0028,2,,14.1,2,,,,Part_0020,1,Part_0021,1,Trans_0001,1
Manuf_0029,2,,29.01,2,,,,Part_0020,1,Part_0021,1,Trans_0001,1
Manuf_0030,1,,61.5,2,,,,Part_0020,1,Part_0021,1,Trans_0001,1
Manuf_0031,1,,169.31,2,,,,Part_0020,1,Part_0021,1,Trans_0001,1
Manuf_0032,1,,28.09,2,,,,Part_0020,1,Part_0021,1,Trans_0001,1
Part_0001,0,,1.36,2,,,
Part_0002,0,,3.51,2,,,
Part_0003,0,,1.52,2,,,
Part_0004,0,,1.53,2,,,
Part_0005,17,,1.49,2,,,
Part_0006,0,,1.81,2,,,
Part_0007,0,,1.83,2,,,
Part_0008,0,,5.23,2,,,
Part_0009,42,,3.88,2,,,
Part_0010,31,,3.83,2,,,
Part_0011,0,,1.18,2,,,
Part_0012,0,,1.1,2,,,
Part_0013,0,,2.94,2,,,
Part_0014,0,,1.21,2,,,
Part_0015,0,,1.87,2,,,
Part_0016,0,,1.73,2,,,
Part_0017,0,,1.54,2,,,
Part_0018,0,,2.0,2,,,
Part_0019,0,,2.02,2,,,
Part_0020,33,,1.98,2,,,
Part_0021,12,,5.87,2,,,
Retail_0001,0,8,2.0,,1748.0,1052.01,2.054,Part_0005,1
Retail_0002,0,13,2.0,,17.0,14.0,2.054,Part_0009,1
Retail_0003,0,15,1.0,,12.0,17.0,2.054,Part_0010,1
Retail_0004,0,15,2.0,,8357.38,3644.16,2.054,Trans_0001,1
Retail_0005,0,15,1.0,,8025.57,3272.13,2.054,Part_0020,1
Trans_0001,2,,2.0,2,,,,Manuf_0001,1
